"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2IBCZB9S","conferencePaper","2020","Emery, Tom; Braukmann, Ricarda; Wittenberg, Marion; van Ossenbruggen, Jacco; Siebes, Ronald; van de Meer, Lucas","The ODISSEI Portal: Linking Survey and Administrative Data","","","","10.5281/zenodo.4302096","","The ODISSEI Portal will combine metadata from a wide variety of research data repositories into a single interface, allow advanced semantic queries to support findability, and facilitate data access. The project will include metadata of (a) all datasets of Statistics Netherlands, including the metadata of the microdata catalogue, (b) all datasets developed supported by ODISSEI in the Netherlands (EVS, GGP, SHARE, ESS, NTR, HSN, LISS) which predominantly apply DDI standards. The project will also develop a metadata ingestion pipeline to make sure that the Portal can be maintained and kept up to date. This pipeline will be used by the hosting party to add new datasets during and after the end of the project. Currently, existing tools for findability in the social sciences are limited in that they only identify specific terms or synonyms (e.g. United Kingdom question bank or the Question Variable Database). The ODISSEI Portal will extend and improve search functionality by using semantic queries which will enable broader probabilistic matching and link functions over an enriched knowledge graph representation of the FAIR metadata catalogue. This incorporates the context of specific terms which are crucial in social research. By using rich and extensible data structures developed within the linked data community, ODISSEI will evolve the relatively flat metadata catalogues in use today into the highly interlinked and graph-based structures needed to conduct advanced semantic searches.","2020-12-01","2021-12-02 15:00:21","2022-11-17 09:54:18","","","","","","","","The ODISSEI Portal","","","","","","","","","","","","Royal Netherlands Academy of Arts and Sciences (KNAW)","","","","","","Roadmap 2020 (Portal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHIFLIDT","conferencePaper","2021","Martorana, Margherita","Connecting the Dots: Transparent FAIRiﬁcation of Restricted Data","Proceedings of the Doctoral Consortium at ISWC 2021","","","","","In the age of information technology and Linked Data, the importance of creating transparent infrastructures for management and exchange of data have emerged to play a focal role for the development of new open research. The FAIR guiding principles have been introduced to advise in the improvement of Findable, Accessible, Interoperable and Reusable technical resources, but the literature is still lacking of practical guidelines for the management and digitization of sensitive and restricted data. The purpose of this research is to introduce new insights aimed at the exploration and discovery of restricted data-sets. The methodology sets out by creating a model for FAIR metadata architecture, which will later be used for automatic ingestion of external restricted data-set ﬁles, as well metadata enrichment. Quantitatively and qualitatively evaluations will be performed to assess the workﬂow, which will later be implemented in the data-set’s search engine. Initial results of the metadata ingestion and enrichment are presented as the RML mapper rules and the OPL ontology, respectively.","2021","2021-12-02 15:00:21","2022-11-17 09:53:51","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\angel\Zotero\storage\HIVGYLLN\Martorana - 2021 - Connecting the Dots Transparent FAIRiﬁcation of R.pdf","","Roadmap 2020 (Portal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ISWC-DC 2021","","","","","","","","","","","","","","",""
"UI5R3HJD","journalArticle","2021","de Zeeuw, Eveline L.; Voort, Lykle; Schoonhoven, Ruurd; Nivard, Michel G.; Emery, Thomas; Hottenga, Jouke-Jan; Willemsen, Gonneke A. H. M.; Dykstra, Pearl A.; Zarrabi, Narges; Kartopawiro, John D.; Boomsma, Dorret I.","Safe Linkage of Cohort and Population-Based Register Data in a Genomewide Association Study on Health Care Expenditure","Twin Research and Human Genetics","","1839-2628","10.1017/thg.2021.18","https://www.cambridge.org/core/article/safe-linkage-of-cohort-and-populationbased-register-data-in-a-genomewide-association-study-on-health-care-expenditure/4526BA158995DDCF587726B5AC1E0773","There are research questions whose answers require record linkage of multiple databases that may be characterized by limited options for full data sharing. For this purpose, the Open Data Infrastructure for Social Science and Economic Innovations (ODISSEI) consortium has supported the development of the ODISSEI Secure Supercomputer (OSSC) platform that allows researchers to link cohort data to data from Statistics Netherlands and run large-scale analyses in a high-performance computing (HPC) environment. Here, we report a successful record linkage genomewide association (GWA) study on expenditure for total health, mental health, primary and hospital care, and medication. Record linkage for genotype data from 16,726 participants from the Netherlands Twin Register (NTR) with data from Statistics Netherlands was accomplished in the secure OSSC platform, followed by gene-based tests and estimation of total and single nucleotide polymorphism (SNP)-based heritability. The total heritability of expenditure ranged between 29.4% (SE 0.8) and 37.5% (SE 0.8), but GWA analyses did not identify SNPs or genes that were genomewide significantly associated with health care expenditure. SNP-based heritability was between 0.0% (SE 3.5) and 5.4% (SE 4.0) and was different from zero for mental health care and primary care expenditure. We conclude that successfully linking genotype data to administrative health care expenditure data from Statistics Netherlands is feasible and demonstrates a series of analyses on health care expenditure. The OSSC platform offers secure possibilities for analyzing linked data in large scale and realizing sample sizes required for GWA studies, providing invaluable opportunities to answer many new research questions.","2021","2021-12-02 15:00:27","2022-11-21 15:09:44","","103-109","","2","24","","","","","","","","","","","","","","","","","0 citations (Crossref) [2022-11-21]","","","","Bridge (OSSC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3C88KWPF","thesis","2020","Petrović, Ana","Multiscale spatial contexts and neighbourhood effects","","","","","https://journals.open.tudelft.nl/abe/article/view/5194","This thesis has developed alternative methods of operationalising neighbourhoods at multiple spatial scales and used them to advance our understanding of spatial inequalities and neighbourhood effects. The underlying problem that motivated this thesis is that many empirical studies use predefined administrative units, and this does not often align with the underlying theory or geography. Despite the extensive literature on neighbourhood effects and, more generally, on sociospatial inequalities, spatial scale remains an under-analysed concept. As a response to this research gap, this thesis takes a multiscale approach to both theory and empirical analysis of neighbourhood effects, highlighting the multitude of spatial processes that may affect individual outcomes of people. To operationalise this, we created bespoke areas (centred around each location) at a range of one hundred scales representing people’s residential contexts, primarily in the Netherlands but also in multiple European capitals. Using microgeographic data and a large number of scales combined with small distance increments revealed subtle changes in sociodemographic characteristics across space. In doing so, we provided new insights into ethnic segregation, potential exposures to poverty, and neighbourhood effects on income, all in light of the fundamental issue of spatial scale: The analyses of sociospatial inequalities are substantially affected by the scale used to operationalise spatial context, and this varies within and between cities and urban regions. The aim of this thesis was therefore not to find a single, ‘true’ scale of neighbourhood, but to acknowledge, operationalise, and better understand the multiplicity of spatial scales.","2020-09-15","2021-12-02 15:00:27","2022-11-17 10:38:09","2021-11-25 09:25:09","","","","","","","","","","","","Delft University of Technology","","en","Copyright (c) 2020 Ana Petrović","","","","journals.open.tudelft.nl","","Number: 15","","C:\Users\angel\Zotero\storage\L8KI34QI\Petrović - 2020 - Multiscale spatial contexts and neighbourhood effe.pdf","","Bridge (OSSC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYNGIHYP","manuscript","2021","Scheerman, Michel; Zarrabi, Narges; Kruiten, Martijn; Voort, Lykle; Langedijk, Annette; Schoonhoven, Ruurd; Emery, Tom","Secure Platform for Processing Sensitive Data on Shared HPC Systems","","","","","","High performance computing clusters operating in shared and batch mode pose challenges for processing sensitive data. In the meantime, the need for secure processing of sensitive data on HPC system is growing. In this work we present a novel method for creating secure computing environments on traditional multi-tenant high-performance computing clusters. Our platform as a service provides a customizable virtualized solution using PCOCC and SLURM to meet strict security requirements without modifying the existing HPC infrastructure. We show how this platform has been used in real-world research applications from different research domains. The solution is scalable by design with low performance overhead and can be generalized for processing sensitive data on shared HPC systems imposing high security criteria.","2021","2021-12-02 15:00:27","2023-06-02 08:31:00","","","","","","","","","","","","","","","en","","Working paper","","","Zotero","","","","C:\Users\angel\Zotero\storage\F9Q9AJA9\Scheerman et al. - Secure Platform for Processing Sensitive Data on S.pdf","","Bridge (OSSC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5WHSV4Z","manuscript","2021","Demange, Perline A.; Hottenga, Jouke Jan; Abdellaoui, Abdel; Eilertsen, Espen Moen; Malanchini, Margherita; Domingue, Benjamin W.; de Zeeuw, Eveline L.; Rimfeld, Kaili; Eley, Thalia C.; Boomsma, Dorret I.; van Bergen, Elsje; Breen, Gerome; Nivard, Michel G.; Cheesman, Rosa","Estimating effects of parents’ cognitive and non-cognitive skills on offspring education using polygenic scores","","","","","http://biorxiv.org/lookup/doi/10.1101/2020.09.15.296236","Abstract           Understanding how parents’ cognitive and non-cognitive skills influence offspring education is vital for educational, family and economic policy. We use genetics (GWAS-by-subtraction) to assess a latent, broad non-cognitive skills dimension. To index parental effects controlling for genetic transmission, we estimate indirect parental genetic effects of polygenic scores on childhood and adulthood educational outcomes, using siblings (N=47,459), adoptees (N=6,407), and parent-offspring trios (N=2,534) in three UK and Dutch cohorts. We find that parental cognitive and non-cognitive skills affect offspring education through their environment: on average across cohorts and designs, indirect genetic effects explain 36-40% of population polygenic score associations. However, indirect genetic effects are lower for achievement in the Dutch cohort, and for the adoption design. We identify causes of higher sibling- and trio-based estimates: prenatal indirect genetic effects, population stratification, and assortative mating. Our phenotype-agnostic, genetically sensitive approach has established overall environmental effects of parents’ skills, facilitating future mechanistic work.","2021","2021-12-02 15:00:31","2022-11-17 11:00:14","2021-11-11 16:19:31","","","","","","","","","","","","","","en","","preprint","bioRxiv","","DOI.org (Crossref)","","DOI: 10.1101/2020.09.15.296236","","C:\Users\angel\Zotero\storage\2U9VXLGX\Demange et al. - 2020 - Estimating effects of parents’ cognitive and non-c.pdf","","Core (MAG 2019)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBCSGCZD","manuscript","2020","Karpati, Daniel; Renneboog, Luc","The Global Financial Crisis and Employee Mental Health","","","","","https://papers.ssrn.com/abstract=3735777","We find that the Global Financial Crisis (2007-2009) had an adverse effect on employee mental  health. To identify the causal effects of the credit shock, we exploit the plausibly exogenous variation in firms’ need to refinance their long-term debt in 2008, a period when refinancing became more difficult due to tightening bank lending standards. Using administrative data from the Netherlands, we demonstrate that antidepressant use grew significantly more in the 2008-2012 period among employees of firms in need of high debt refinancing. A higher probability of job separation in these firms suggests lower job security as a transmission channel.","2020-11-23","2021-12-02 15:00:31","2022-11-17 11:01:19","2021-11-15 12:47:55","","","","","","","","","","","","","Rochester, NY","en","","Discussion paper","SSRN","","papers.ssrn.com","","DOI: 10.2139/ssrn.3735777","","C:\Users\angel\Zotero\storage\P3BH8IGD\papers.html","","Roadmap (MAG 2020) - DOUBLE","credit supply; job insecurity; mental health; bankruptcy; Financial crisis; financial distress; human capital; labor relations; work conditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3WCJXZM","manuscript","2021","Karpati, Daniel; Renneboog, Luc","Corporate Financial Frictions and Employee Mental Health","","","","","https://papers.ssrn.com/abstract=3772659","This paper argues that corporate financial frictions can have an adverse effect on employee mental health, an important determinant of employee productivity. To identify the causal effects of financial frictions, we exploit variation in firms’ need to refinance their long-term debt in 2008, a period when refinancing became more difficult due to the credit crunch. Using administrative microdata, we find that antidepressant use grows significantly more among employees of firms in higher need of debt refinancing. Much of this effect occurs at employees keeping their jobs, pointing to decreased perceptions of job security as a transmission channel.","2021-08-17","2021-12-02 15:00:31","2022-11-17 11:00:46","2021-11-15 12:47:49","","","","","","","","","","","","","Rochester, NY","en","","Discussion paper","SSRN","","papers.ssrn.com","","DOI: 10.2139/ssrn.3772659","","C:\Users\angel\Zotero\storage\R6L8FEBH\papers.html","","Roadmap (MAG 2020)","anti-depressants; credit supply; depression; financial crisis; job insecurity; job loss; mental health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62G3ZBBR","conferencePaper","2019","Bijwaard, Govert E; Conti, Gabriella; Ekamper, Peter; van Poppel, Frans; Lumey, L H","Impact of Famine Exposure in Utero on Labor Market Behavior and Health Later in Life","Proceedings of the Cohort Studies Meeting Spring 2019","","","","https://discovery.ucl.ac.uk/id/eprint/10117410/","In this paper, we study the long-term causal eﬀects of the Dutch Famine on labor market and health behavior later in life (55-70). To acknowledge the dynamic nature of labor market changes we focus on the impact of the famine on the timing of becoming disabled or retired. To acknowledge the dynamic nature of health behavior, medication use and health expenditures, we focus on the impact of the famine on the changes over time of medication use and health expenditures, both categorized. In all analyses we use a non-linear Diﬀerence-in-diﬀerence approach to identify the the causal impact of famine exposure in utero on later life outcomes.","2019","2021-12-02 15:00:35","2022-11-21 15:41:44","","","","","","","","","","","","","National Bureau of Economic Research (NBER)","Cambridge, MA","en","","","","","Zotero","","","","C:\Users\angel\Zotero\storage\R87T4HLG\Bijwaard et al. - Impact of Famine Exposure in Utero on Labor Market.pdf","","Core (MAD 2017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AS36YFAD","manuscript","2021","de Gendre, Alexandra; Kabatek, Jan","From Subsidies to Loans: The Effects of a National Student Finance Reform on the Choices of Secondary School Students","","","","","https://papers.ssrn.com/abstract=3917301","We analyse the effects of a national student finance reform in the Netherlands, which replaced universal subsidies for higher education students by low-interest loans. We show that this reform had a large impact on education choices of secondary school students, lowering their enrolments in college-preparing tracks and increasing the share of students specializing in STEM subjects. The reform also affected the living arrangements of new college entrants. Our findings highlight that secondary school students respond to the modes of higher education financing well ahead of their graduation, and that financial aid uncertainty alone can deter many from pursuing higher education.","2021-09-04","2021-12-02 15:00:35","2021-12-02 15:00:35","2021-11-15 11:20:26","","","","","","","From Subsidies to Loans","","","","","","Rochester, NY","en","","Working paper","SSRN","","papers.ssrn.com","","","","C:\Users\angel\Zotero\storage\G3GALSZB\de Gendre and Kabatek - 2021 - From Subsidies to Loans The Effects of a National.pdf; C:\Users\angel\Zotero\storage\U5B8AWY9\papers.html","","","Netherlands; financial aid; higher education; policy uncertainty; student finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
