title,project_lead,orcid,ODISSEI_grant,publication type,publication,data,link_data,code,programming language
Hours and income dynamics during the Covid-19 pandemic: The case of the Netherlands,Hans-Martin von Gaudecker,https://orcid.org/0000-0001-8519-9781,,Journal article,https://doi.org/10.1016/j.labeco.2021.102055,LISS panel data,https://doi.org/10.17026/dans-zva-nzcq,https://github.com/ChristianZimpelmann/replication-work-hours-covid/tree/main,Python
Greed:What Is It Good for?,Karlijn Hoyer,https://orcid.org/0000-0003-4029-9847,LISS Grant 2018,Journal article,https://doi.org/10.1177/01461672221140355,LISS panel data,https://doi.org/10.17026/dans-2xb-7f3j,https://researchbox.org/572,R
Further tests of the scarcity and luxury hypotheses in dispositional greed: Evidence from two large-scale Dutch and American samples,Karlijn Hoyer,https://orcid.org/0000-0003-4029-9847,LISS Grant 2018,Journal article,https://doi.org/10.1007/s12144-021-02467-z,LISS panel data,https://doi.org/10.17026/dans-2xb-7f3j,https://researchbox.org/177,R
The wage penalty for informal caregivers from a life course perspective,Klara Raiber,https://orcid.org/0000-0002-9326-8246,LISS Grant 2019,Journal article,https://doi.org/10.1016/j.alcr.2022.100490,LISS panel data,https://doi.org/10.17026/dans-xyf-v7vu,https://github.com/social-scientist/Replication-package-Raiber-Visser-and-Verbakel-2022-Advances-in-life-course-research,Stata
Are the gender gaps in informal caregiving intensity and burden closing due to the COVID-19 pandemic? Evidence from the Netherlands,Klara Raiber,https://orcid.org/0000-0002-9326-8246,LISS Grant 2019,Journal article,https://doi.org/10.1111/gwao.12725,LISS panel data,"https://doi.org/10.17026/dans-xyf-v7vu; 
https://doi.org/10.17026/dans-z6w-rd24",https://github.com/social-scientist/Are-the-Gender-Gaps-in-Informal-Caregiving-Intensity-and-Burden-Closing-due-to-the-COVID-19-Pandemic,Stata
Strategies of informal caregivers to adapt paid work,Klara Raiber,https://orcid.org/0000-0002-9326-8246,LISS Grant 2019,Journal article,https://doi.org/10.1080/14616696.2023.2207108,LISS panel data,https://doi.org/10.17026/dans-xyf-v7vu,https://figshare.com/articles/software/Replication_syntax_article_Strategies_of_Informal_Caregivers_to_Adapt_Paid_Work/22101665,Stata
Testing the informal care model: intrapersonal change in care provision intensity during the first lockdown of the COVID-19 pandemic,Klara Raiber,https://orcid.org/0000-0002-9326-8246,LISS Grant 2019,Journal article,https://doi.org/10.1007/s10433-022-00713-2,LISS panel data,"https://doi.org/10.17026/dans-xyf-v7vu; 
https://doi.org/10.17026/dans-z6w-rd24",https://github.com/social-scientist/replication-files-Testing-the-informal-care-model-Raiber-Verbakel-and-de-Boer-2022-,Stata
The prospective associations between financial scarcity and financial avoidance,Leon Paul Hilbert,https://orcid.org/0000-0002-4366-9332,LISS Grant 2019,Journal article,https://doi.org/10.1016/j.joep.2021.102459,LISS panel data,https://doi.org/10.17026/dans-zha-j8yv,https://doi.org/10.17605/OSF.IO/ZMH5N,R
"Those were the what? Contents of nostalgia, relative deprivation and radical right support",Peter Luca Versteegen,https://orcid.org/0000-0002-8562-5442,,Journal article,https://doi.org/10.1111/1475-6765.12593,LISS panel data,,https://osf.io/jmsu3/,R
Does informing citizens about the non-meritocratic nature of inequality bolster support for a universal basic income? Evidence from a population-based survey experiment,Thijs Lindner,https://orcid.org/0000-0003-4377-5968,,Journal article,https://doi.org/10.1080/14616696.2023.2272263,LISS panel data,https://doi.org/10.57990/08zj-b857; https://doi.org/10.17026/dans-x6s-z3ma; https://doi.org/10.17026/dans-z2r-n69z; https://doi.org/10.57990/qn3k-as78,https://osf.io/s364g/,Stata; R
Does the prospect of further sovereignty loss fuel Euroscepticism? A population-based survey experiment,Elske van den Hoogen,https://orcid.org/0000-0002-4177-3670,,Journal article,https://doi.org/10.1080/14616696.2023.2275593,LISS panel data,https://doi.org/10.57990/08zj-b857; https://www.dataarchive.lissdata.nl/study-units/view/1418,https://surfdrive.surf.nl/files/index.php/s/TpyBJStqk1rBh24,Stata
Do middle-aged and older people underreport loneliness? experimental evidence from the Netherlands,Thijs van den Broek,https://orcid.org/0000-0002-0716-6009,,Journal article,https://doi.org/10.1007/s10433-024-00826-w,LISS panel data,https://doi.org/10.57990/mtve-qc91; https://doi.org/10.57990/qn3k-as78.,https://osf.io/euhbk/,Stata
